Category,Model Classification,Model Name,Publication_Date,Tool Usage,Url,Architecture,Transformer_Type,Description,Evaluation,citation
CFP,Unimodal,MerMED-FM,2025-06,"MerMED-FM is a state-of-the-art multimodal, multi-specialty foundation model trained using self-supervised learning and a memory module on 3.3 million medical images from over ten specialties and seven modalities, enabling robust medical imaging interpretation across diverse medical disciplines including radiology, pathology, ophthalmology, and dermatology.",https://arxiv.org/abs/2507.00185,"Self-supervised learning architecture with teacher-student iterative training system and memory-based module. Trained on 3.3 million medical images across multiple modalities within a single architecture, enabling broad generalization and cross-specialty knowledge transfer.",Encoder-only,"MerMED-FM was trained on 3.3 million medical images from over ten specialties (eye, lung, adrenal, spleen, kidney, bladder, prostate, liver, gallbladder, pancreas, colon, ovarian, uterine, bone, thyroid, skin, vessels) and seven modalities, including CT, chest X-rays, ultrasound, pathology patches, color fundus photography, OCT and dermatology images. The model introduces a teacher-student iterative training system and a memory-based module to help the model learn more accurately from limited data and stay consistent across tasks.","25 publicly available datasets; Multiple disease types and imaging modalities; Mean AUROC of 0.935 (vs 0.919 for BiomedCLIP, 0.933 for DINO); Sensitivity 78.3%, Specificity 91.8%; AUROCs by modality: 0.988 (OCT), 0.982 (pathology), 0.951 (US), 0.943 (CT), 0.931 (skin), 0.894 (CFP), 0.858 (CXR); Lung cancer detection on CT: AUROC 0.981; COVID-19 pneumonia on CT: AUROC 0.999; Pneumothorax on CXR: AUROC 0.934; Performance across eye diseases, lung diseases, malignancies, and skin diseases",0
CFP,Unimodal,RETFound-Green,2025-07,Efficient RETFound variant matching performance with 400x less compute (CFP only),https://doi.org/10.1038/s41467-025-62123-z,ViT (Token Reconstruction SSL),Encoder-only,"RETFound-Green uses ViT encoder with Token Reconstruction SSL, more efficient than MAE. Encoder-only architecture for retinal imaging. (2024)",Disease detection AUROC; Diabetic retinopathy; Glaucoma; AMD; Systemic disease prediction; Label efficiency,10
CFP,Unimodal,PanDerm,2025-03,"Foundation model for dermoscopic image analysis supporting melanoma diagnosis, lesion change detection, and longitudinal monitoring with strong label efficiency.",https://arxiv.org/html/2410.15038v2,ViT-Large Image Encoder + Masked Latent Regressor,Encoder-only,"PanDerm integrates dermoscopic images into a multimodal dermatology foundation model, enabling early melanoma detection, lesion change analysis, and metastasis risk prediction from sequential imaging.","Melanoma diagnosis, lesion change detection",37
CFP,Unimodal,Multimodal DL-CVD,2023-02,Deep learning combining fundus images with clinical risk factors for cardiovascular disease prediction,https://doi.org/10.1038/s41746-023-00748-4,Multimodal CNN/Transformer,Hybrid,Hybrid CNN/Transformer architecture for cardiovascular disease prediction using multimodal clinical data. Combines convolutional and attention mechanisms.,ECG classification,65
CFP,Unimodal,LVM-Med,2023-11,"LVM-Med is a large-scale self-supervised vision model for medical imaging that learns representations via second-order graph matching, a novel contrastive learning algorithm that integrates pairwise image similarity and captures structural constraints of feature embeddings, enabling effective fine-tuning across diverse medical imaging tasks.",https://arxiv.org/abs/2306.11925,"ResNet-50 and Vision Transformer (ViT) networks trained using second-order graph matching self-supervised learning. The approach constructs graphs from transformed image embeddings and solves a graph-matching problem to learn feature representations. Trained on approximately 1.3 million medical images from 55 publicly available datasets covering various organs and modalities (CT, MRI, X-ray, ultrasound, dermoscopy).",Encoder-only,"LVM-Med is trained on approximately 1.3 million medical images from 55 publicly available datasets covering various body organs and modalities. The model uses a novel self-supervised contrastive learning algorithm based on second-order graph matching formulation that integrates global and local information, captures structural constraints through edge constraints, and can be trained efficiently end-to-end using gradient-estimation techniques.","15 downstream medical tasks: segmentation (fully fine-tuning and prompt-based), classification (linear and fully fine-tuning), object detection; In-distribution and out-of-distribution settings; Brain Tumor Classification; Diabetic Retinopathy Grading; Performance improvements of 6-7% over vision-language models trained on 1 billion masks while using only ResNet-50",84
CFP,Unimodal,RETFound,2023-10,RETFound is a foundation model for retinal images that learns generalizable representations from unlabelled retinal images using self-supervised learning (masked autoencoder) and provides a basis for label-efficient model adaptation in disease detection tasks including ocular diseases and systemic disorders.,https://pubmed.ncbi.nlm.nih.gov/37704728/,"Vision Transformer (ViT) architecture pretrained using Masked Autoencoder (MAE) self-supervised learning. Two separate models: one for CFP (904,170 images) and one for OCT (736,442 images), totaling 1.6 million retinal images from MEH-MIDAS and public datasets. Pretrained successively on ImageNet-1k followed by retinal images.",Encoder-only,"The paper demonstrates that retinal features can encode signals predictive of both ocular and systemic diseases, enabling high-precision diagnosis directly from retinal images. RETFound shows superior label efficiency and generalizability compared to ImageNet-pretrained models. The masked autoencoder approach generally outperforms contrastive SSL approaches (SimCLR, SwAV, DINO, MoCo-v3) in most tasks.","Ocular disease diagnosis: 8 publicly available datasets; Diabetic retinopathy (AUROC 0.943 on APTOS-2019, 0.822 on IDRID, 0.884 on MESSIDOR-2); Glaucoma; Multiclass disease classification; Ocular disease prognosis: 1-year prediction of fellow eye converting to wet-AMD (AUROC 0.862 with CFP, 0.799 with OCT); Systemic disease prediction: 3-year prediction of ischaemic stroke (AUROC 0.754 with CFP), myocardial infarction (AUROC 0.737 with CFP), heart failure (AUROC 0.794 with CFP), Parkinson's disease (AUROC 0.669); Label efficiency: outperforms with only 10% of labelled training data; External validation on UK Biobank",720
"CFP, ECG",Multimodal,ECG-Fundus Model,2025-02,FFT-based multimodal fusion of ECG signals with fundus photography for CVD prediction (~84% accuracy),https://doi.org/10.1038/s41598-025-87634-z,Dual Encoder (Multimodal),Dual-Encoder,Dual encoder for multimodal ECG-fundus image learning.,ECG classification,8
"CFP, ECG",Multimodal,MedGemma,2025-07,Google's multimodal model supporting fundus/ophthalmology image interpretation with Natural language (CFP only),https://arxiv.org/abs/2507.05201,Transformer (Gemma-based),Decoder-only,"MedGemma is based on Google Gemma decoder-only architecture fine-tuned for medical tasks using instruction tuning. (Google, 2024)",ECG classification,165
"CFP,  Clinical Notes/EHR",Multimodal,SLIMP,2026-1,"Uses SLICE-3D (3D-TBP lesion crops) and learns representations from lesion images + lesion/patient conNatural language (metadata), framed as a multi-modal contrastive approach. This is ‚ÄúNatural language‚Äù in the sense of tokenizable structured clinical conNatural language (often rendered into Natural language prompts)",https://arxiv.org/abs/2505.23709,ViT Image Encoder + Tabular Transformer Encoders,Encoder-only,Transformer encoder architecture.,"SLIMP (Skin Lesion Image Metadata Pre-training) learns rich skin lesion representations by aligning lesion images with structured lesion- and patient-level metadata through a nested contrastive learning scheme, enabling robust lesion phenotyping, metadata-aware classification, and retrieval even under limited annotation or missing metadata.",1
CT,Unimodal,MerMED-FM,2025-06,"This is a ""Generalist"" medical foundation model trained on 3.3 million images across 7 modalities, including both Pathology patches (H&E) and Color Fundus Photography (CFP).",https://arxiv.org/abs/2507.00185,Dual-network teacher-student ViT framework with a dynamic memory module,Encoder-only,"A multimodal, multi-specialty foundation model trained using self-supervised learning (SSL) to unify the interpretation of diverse imaging types through a shared latent space.",Detection of lung carcinoma and COVID-19 pneumonia on CT scan slices.,0
